aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Jet,"Jul 1, 0097",BOEING,737-3TO,Valid,N10323,Corporation,"1,986"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 24, 0003",EMBRAER,EMB-145LR,Valid,N10575,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 24, 0098",BOEING,747-422,Valid,N107UA,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 22, 0099",AIRBUS INDUSTRIE,A320-214,Valid,N110UW,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 25, 0003",EMBRAER,EMB-145XR,Valid,N11113,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"May 21, 0003",EMBRAER,EMB-145XR,Valid,N11137,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 9, 0004",EMBRAER,EMB-145XR,Valid,N11164,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"May 25, 0005",EMBRAER,EMB-145XR,Valid,N11184,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 5, 0005",EMBRAER,EMB-145XR,Valid,N11192,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 29, 0099",AIRBUS INDUSTRIE,A320-214,Valid,N111US,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 24, 0001",AIRBUS INDUSTRIE,A320-214,Valid,N114UW,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"May 29, 0002",EMBRAER,EMB-145LR,Valid,N11539,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N11551,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 31, 0097",BOEING,737-524,Valid,N11651,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 11, 0001",AIRBUS INDUSTRIE,A320-214,Valid,N117UW,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 13, 0098",BOEING,767-332,Valid,N1200K,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Jet,"Jul 5, 0095",BOEING,757-224,Valid,N12114,Corporation,"1,995"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 12, 0003",EMBRAER,EMB-145XR,Valid,N12126,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 26, 0003",EMBRAER,EMB-145XR,Valid,N12145,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 28, 0004",EMBRAER,EMB-145XR,Valid,N12166,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 7, 0005",EMBRAER,EMB-145XR,Valid,N12195,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 19, 0006",EMBRAER,EMB-145XR,Valid,N12201,Corporation,"2,006"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 22, 0098",BOEING,737-824,Valid,N12225,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Jet,"Oct 18, 0085",BOEING,737-3TO,Valid,N12313,Corporation,"1,985"
Fixed Wing Multi-Engine,Turbo-Jet,"May 5, 0004",BOEING,737-3TO,Valid,N12327,Corporation,"1,986"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 21, 0001",AIRBUS INDUSTRIE,A320-214,Valid,N124US,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N12540,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 26, 0002",EMBRAER,EMB-145LR,Valid,N12567,Corporation,"2,002"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 4, 0008",BOEING,767-332,Valid,N126DL,Corporation,"1,988"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 1, 0002",EMBRAER,EMB-145LR,Valid,N12900,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 23, 0098",EMBRAER,EMB-145EP,Valid,N12934,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 30, 0001",EMBRAER,EMB-145LR,Valid,N12996,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Jet,"Dec 8, 0094",BOEING,757-224,Valid,N13110,Corporation,"1,994"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 5, 0003",EMBRAER,EMB-145XR,Valid,N13124,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 29, 0004",EMBRAER,EMB-145XR,Valid,N13161,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 15, 0091",BOEING,767-332,Valid,N132DN,Corporation,"1,991"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 26, 0091",BOEING,767-332,Valid,N134DL,Corporation,"1,991"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 23, 0002",EMBRAER,EMB-145LR,Valid,N13566,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Jet,"Dec 7, 0098",BOEING,737-724,Valid,N13716,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 1, 0091",BOEING,767-332,Valid,N137DL,Corporation,"1,991"
Fixed Wing Multi-Engine,Turbo-Fan,"May 25, 0001",EMBRAER,EMB-145LR,Valid,N13913,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 23, 0098",EMBRAER,EMB-145EP,Valid,N13936,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 4, 0099",EMBRAER,EMB-145LR,Valid,N13958,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 17, 0099",EMBRAER,EMB-145LR,Valid,N13969,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0001",EMBRAER,EMB-145LR,Valid,N13979,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0001",EMBRAER,EMB-145LR,Valid,N13992,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"May 11, 0092",BOEING,767-332,Valid,N139DL,Corporation,"1,992"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 24, 0003",EMBRAER,EMB-145XR,Valid,N14105,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 26, 0003",EMBRAER,EMB-145XR,Valid,N14116,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Jet,"Aug 1, 0097",BOEING,757-224,Valid,N14121,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 10, 0003",EMBRAER,EMB-145XR,Valid,N14153,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0004",EMBRAER,EMB-145XR,Valid,N14171,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Mar 9, 0005",EMBRAER,EMB-145XR,Valid,N14179,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 8, 0006",EMBRAER,EMB-145XR,Valid,N14198,Corporation,"2,006"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 28, 0098",BOEING,737-824,Valid,N14219,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 26, 0099",BOEING,737-824,Valid,N14242,Corporation,"1,999"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
